condition,severity,method,image,IoU,F1,inference_ms
fog,0.0,classical,clips/0601/1494453497604532231/20.jpg,0.08419779087222459,0.15531813767022792,6.807124940678477
fog,0.0,classical,clips/0601/1494453503601902751/20.jpg,0.0059547074376365096,0.011838917584677972,1.9018750172108412
fog,0.0,classical,clips/0601/1494453509599288720/20.jpg,0.01488088667122955,0.029325385602714988,2.121624886058271
fog,0.0,classical,clips/0601/1494453515596795530/20.jpg,0.1798671666741969,0.30489392662939424,2.2273750510066748
fog,0.0,classical,clips/0601/1494453521596643824/20.jpg,0.09886059788499987,0.17993291974483197,2.4349589366465807
fog,0.0,classical,clips/0601/1494453527591367337/20.jpg,0.01897443549189297,0.03724222086638194,1.7896249191835523
fog,0.0,classical,clips/0601/1494453533590270210/20.jpg,0.12597600673814566,0.22376321695004348,2.0634590182453394
fog,0.0,classical,clips/0601/1494453539586188022/20.jpg,0.06696663829097248,0.1255271456251662,2.1296250633895397
fog,0.0,classical,clips/0601/1494453545585907063/20.jpg,0.008427813941457947,0.01671475900395426,1.8942499300464988
fog,0.0,classical,clips/0601/1494453551580996478/20.jpg,0.08508867531952839,0.15683266677623767,2.065500011667609
fog,0.0,classical,clips/0601/1494453557578299956/20.jpg,0.13826486285217823,0.24293970123214478,1.9598749931901693
fog,0.0,classical,clips/0601/1494453563575744757/20.jpg,0.10207087387306972,0.18523468189365408,2.2052499698475003
fog,0.0,classical,clips/0601/1494453569573067938/20.jpg,0.10803206002728513,0.19499807618314738,2.2196670761331916
fog,0.0,classical,clips/0601/1494453575572346547/20.jpg,0.16215675986307873,0.2790617676778535,1.7240840243175626
fog,0.0,classical,clips/0601/1494453581567767982/20.jpg,0.030449238769030773,0.059098959217836436,3.7974159931764007
fog,0.0,classical,clips/0601/1494453587565069969/20.jpg,0.035130752077843094,0.06787693633354876,1.8078749999403954
fog,0.0,classical,clips/0601/1494453593562528307/20.jpg,0.045138399360872224,0.08637784122844488,1.7521249828860164
fog,0.0,classical,clips/0601/1494453599561987554/20.jpg,0.054433456252095204,0.10324683066407027,1.4028750592842698
fog,0.0,classical,clips/0601/1494453605557268031/20.jpg,0.006523472420208268,0.012962385078854511,1.8253331072628498
fog,0.0,classical,clips/0601/1494453611554664747/20.jpg,0.0016770814188568279,0.0033485470516731266,1.7697919392958283
fog,0.0,classical,clips/0601/1494453617553424930/20.jpg,0.019404397844764817,0.038070068926109785,2.20379198435694
fog,0.0,classical,clips/0601/1494453623549421445/20.jpg,0.05163099355079914,0.09819222496755958,2.2937910398468375
fog,0.0,classical,clips/0601/1494453629547675743/20.jpg,0.056916835699797164,0.1077035274248647,2.5513749569654465
fog,0.0,classical,clips/0601/1494453635544157546/20.jpg,0.05730829188627422,0.10840412834374781,1.8769160378724337
fog,0.0,classical,clips/0601/1494453641541664519/20.jpg,0.0,nan,2.6388330152258277
fog,0.0,classical,clips/0601/1494453647538775071/20.jpg,0.07739621983713924,0.14367271466543396,2.0787090761587024
fog,0.0,classical,clips/0601/1494453653536229036/20.jpg,0.0011254776736638224,0.002248424795419488,2.103000064380467
fog,0.0,classical,clips/0601/1494453661532670510/20.jpg,0.025013376136971643,0.04880595067206055,1.9665829604491591
fog,0.0,classical,clips/0601/1494453667532618102/20.jpg,0.22825298232374538,0.3716709596616017,2.022916916757822
fog,0.0,classical,clips/0601/1494453673527450206/20.jpg,0.1285251443865333,0.22777542002646228,1.6534579917788506
fog,0.0,classical,clips/0601/1494453679527133712/20.jpg,0.12162258163821071,0.21686899609416235,2.2286250023171306
fog,0.0,classical,clips/0601/1494453685522315222/20.jpg,0.169072782741338,0.2892425266199119,2.034334000200033
fog,0.0,classical,clips/0601/1494453691519533853/20.jpg,0.14960863377609107,0.2602775055449528,2.0743749337270856
fog,0.0,classical,clips/0601/1494453697518974585/20.jpg,0.21213993358560507,0.3500254841997961,1.9162920070812106
fog,0.0,classical,clips/0601/1494453703514316264/20.jpg,0.21821720061575997,0.35825664012207337,1.9880830077454448
fog,0.0,classical,clips/0601/1494453709513778562/20.jpg,0.32893219327898193,0.49503231984678003,2.0009169820696115
fog,0.0,classical,clips/0601/1494453715509045873/20.jpg,0.1425571779299651,0.24954055811586415,1.6443750355392694
fog,0.0,classical,clips/0601/1494453721506443914/20.jpg,0.1778607833554423,0.3020064609821878,1.7701670294627547
fog,0.0,classical,clips/0601/1494453727503739315/20.jpg,0.13873904827349254,0.24367136348550225,1.478958991356194
fog,0.0,classical,clips/0601/1494453733501172122/20.jpg,0.10534048805417146,0.19060278564410796,2.0238750148564577
fog,0.0,classical,clips/0601/1494453739498514009/20.jpg,0.18608444116198916,0.3137794151986093,2.0231249509379268
fog,0.0,classical,clips/0601/1494453745495966700/20.jpg,0.20268844648630255,0.3370589400413118,1.9409580854699016
fog,0.0,classical,clips/0601/1494453751493293308/20.jpg,0.11239411291467512,0.20207606568535694,1.7399999778717756
fog,0.0,classical,clips/0601/1494453757490822445/20.jpg,0.11018809147334388,0.1985034649887335,1.9443329656496644
fog,0.0,classical,clips/0601/1494453763488013443/20.jpg,0.05901944458049665,0.11146054944038479,1.614249893464148
fog,0.0,classical,clips/0601/1494453769487225684/20.jpg,0.04514533085961658,0.0863905325443787,1.763500040397048
fog,0.0,classical,clips/0601/1494453775482792464/20.jpg,0.06868347338935574,0.12853847766827425,1.9194170599803329
fog,0.0,classical,clips/0601/1494453781480173619/20.jpg,0.15095906558079725,0.26231873938039707,1.9413329428061843
fog,0.0,classical,clips/0601/1494453787480034236/20.jpg,0.06146227092205369,0.1158067933373904,1.4366250252351165
